Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,Carpet_area,City
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1570,12089,18979730,1570,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,New,NaN,NaN,NaN,September 2020,2,1730,12098,20929540,1730,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,933,14266,13310178,933,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,1546,15181,23469826,1546,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,922,13813,12735586,922,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,4,1912,14747,28196264,1912,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,1222,14673,17930406,1222,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,2,514,8576,4408064,514,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,1,351,9428,3309228,351,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,976,8649,8441424,976,Goa
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2019,2,1220,7052,8603440,1220,Goa
Not Available,Available,Not Available,Not Available,Available,Available,Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,932,14263,13293116,932,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,1027,8642,8875334,1027,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Under Construction,NaN,NaN,New,NaN,NaN,No,September 2020,3,972,8650,8407800,972,Goa
Not Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,1291,6196,7999036,1291,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,New,NaN,NaN,NaN,September 2020,2,1050,7460,7833000,1050,Goa
Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,December 2019,2,1050,7292,7656600,1050,Goa
Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,4th of 4,NaN,NaN,NaN,NaN,December 2020,3,1442,5894,8499148,1442,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,Gr of 2,NaN,NaN,NaN,NaN,December 2020,1,775,8387,6499925,775,Goa
Not Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,1398,6080,8499840,1398,Goa
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,4th of 4,NaN,NaN,NaN,NaN,December 2020,3,1517,5603,8499751,1517,Goa
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,1646,11239,18499394,1646,Goa
Not Available,Available,Available,Not Available,Available,Available,Available,Available,Ready to move,3,1st of 3,NaN,NaN,NaN,NaN,December 2020,3,1431,5939,8498709,1431,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,December 2020,2,1302,6912,8999424,1302,Goa
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,4th of 4,NaN,NaN,NaN,NaN,December 2020,3,1711,4383,7499313,1711,Goa
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 6,NaN,NaN,NaN,NaN,December 2020,2,1377,12708,17498916,1377,Goa
Not Available,Not Available,Available,Available,Available,Available,Available,Available,Ready to move,2,Gr of 2,NaN,NaN,NaN,NaN,December 2020,2,1022,7338,7499436,1022,Goa
Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,4,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,1388,4322,5998936,1388,Goa
Available,Available,Not Available,Not Available,Available,Available,Available,Not Available,Ready to move,3,4th of 4,NaN,NaN,NaN,NaN,December 2020,3,2733,4061,11098713,2733,Goa
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,3,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,1129,4871,5499359,1129,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,1119,5361,5998959,1119,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 2,NaN,NaN,NaN,NaN,December 2020,2,936,4914,4599504,936,Goa
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,1345,5576,7499720,1345,Goa
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,3,1323,8314,10999422,1323,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,3rd of 3,NaN,NaN,NaN,NaN,December 2020,2,753,3718,2799654,753,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,936,4273,3999528,936,Goa
Not Available,Not Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,1,1st of 3,NaN,NaN,NaN,NaN,December 2020,1,452,6637,2999924,452,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,1022,6360,6499920,1022,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,2nd of 3,NaN,NaN,NaN,NaN,December 2020,2,947,4540,4299380,947,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,914,3829,3499706,914,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,1st of 3,NaN,NaN,NaN,NaN,December 2020,2,1345,4832,6499040,1345,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,1,4th of 5,NaN,NaN,NaN,NaN,December 2020,2,699,6437,4499463,699,Goa
Not Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,2nd of 3,NaN,NaN,NaN,NaN,October 2020,3,1721,8134,13998614,1721,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,5th of 8,NaN,NaN,NaN,NaN,December 2019,2,692,10838,7499896,692,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Under Construction,2,Gr of 2,NaN,NaN,NaN,NaN,February 2020,2,917,5788,5307596,917,Goa
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Available,Not Available,Under Construction,2,1st of 2,NaN,NaN,NaN,NaN,February 2020,2,1012,4886,4944632,1012,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,2,8th of 8,NaN,NaN,NaN,NaN,December 2019,2,808,10519,8499352,808,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,NaN,NaN,"3 rooms(study room, servant room, pooja room)",NaN,NaN,March 2020,4,4306,17417,74997602,4306,Goa
Not Available,Not Available,Available,Available,Available,Not Available,Available,Not Available,Under Construction,2,1st of 2,NaN,NaN,NaN,NaN,April 2020,2,1073,5160,5536680,1073,Goa
Not Available,Not Available,Available,Available,Available,Not Available,Available,Not Available,Ready to move,1,2nd of 2,NaN,NaN,NaN,NaN,March 2020,1,684,7309,4999356,684,Goa
Available,Not Available,Available,Available,Not Available,Available,Available,Not Available,Ready to move,1,2nd of 2,NaN,NaN,NaN,NaN,March 2020,1,684,7309,4999356,684,Goa
Not Available,Not Available,Not Available,Available,Available,Not Available,Available,Not Available,Ready to move,2,2nd of 2,NaN,NaN,NaN,NaN,March 2020,1,684,7309,4999356,684,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,4,NaN,NaN,1 rooms(servant room),NaN,NaN,March 2020,4,2583,7355,18997965,2583,Goa
Available,Available,Available,Available,Available,Available,Available,Available,Under Construction,3,5th of 8,NaN,NaN,NaN,NaN,December 2019,2,808,10519,8499352,808,Goa
Not Available,Not Available,Available,Available,Not Available,Not Available,Available,Not Available,Ready to move,1,2nd of 2,NaN,NaN,NaN,NaN,February 2020,1,678,7374,4999572,678,Goa
