Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,November 2020,3,1600,4875,7800000,Bengaluru,1500
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,October 2020,1,1500,5333,7999500,Bengaluru,0
Available,Available,Available,Not Available,Available,Not Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,656,3658,2399648,Bengaluru,650
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,November 2020,1,600,3166,1899600,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,NaN,NaN,Resale,NaN,NaN,NaN,October 2020,2,953,5771,5499763,Bengaluru,0
Available,Not Available,Not Available,Not Available,Available,Not Available,Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,3,1534,4237,6499558,Bengaluru,1385
Available,Available,Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,October 2020,3,1839,7612,13998468,Bengaluru,0
Not Available,Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,NaN,NaN,New,NaN,NaN,No,November 2020,3,1370,4411,6043070,Bengaluru,0
Available,Not Available,Available,Available,Available,Not Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,October 2020,2,1328,5572,7399616,Bengaluru,0
Not Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1200,4583,5499600,Bengaluru,1050
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1080,5277,5699160,Bengaluru,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,NaN,NaN,New,NaN,NaN,NaN,November 2020,4,2502,6994,17498988,Bengaluru,0
Available,Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,3,600,4325,2595000,Bengaluru,300
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,2,1020,5098,5199960,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Under Construction,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1060,2830,2999800,Bengaluru,812
Available,Not Available,Not Available,Available,Available,Available,Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1010,4455,4499550,Bengaluru,0
Not Available,Available,Available,Available,Available,Available,Not Available,Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,November 2020,2,1159,5176,5998984,Bengaluru,0
Available,Available,Not Available,Available,Available,Not Available,Not Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,December 2020,3,1626,4684,7616184,Bengaluru,0
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Ready to move,2,NaN,Resale,NaN,NaN,NaN,December 2020,2,1060,3679,3899740,Bengaluru,0
