Power Backup,Lift,24 X 7 Security,Children's play area,Gymnasium,Landscaped Gardens,Car Parking,Club House,Status,Bathrooms,Floor,New/Resale,Additional Rooms,Balconies,Price Negotiable,posted_date,BHK,Area,Rate,Price,City,Carpet_area
Available,Available,Available,Not Available,Not Available,Not Available,Available,Not Available,Ready to move,2,2nd of 5,NaN,NaN,NaN,NaN,July 2020,2,1600,2812,4499200,Dehradun,0
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Ready to move,3,1st of 3,NaN,NaN,NaN,NaN,April 2020,3,1766,2259,3989394,Dehradun,1550
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,3rd of 3,NaN,NaN,NaN,NaN,May 2020,2,1500,2660,3990000,Dehradun,1300
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,4,2nd of 9,NaN,NaN,NaN,NaN,December 2020,4,2650,3660,9699000,Dehradun,2120
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,NaN,Resale,NaN,NaN,NaN,March 2020,3,1925,3600,6930000,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 9,NaN,NaN,NaN,NaN,April 2020,3,1925,3600,6930000,Dehradun,0
Available,Available,Available,Not Available,Not Available,Available,Available,Not Available,Under Construction,4,1st of 9,NaN,NaN,NaN,NaN,December 2020,4,2650,3622,9598300,Dehradun,2190
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,2,4th of 8,NaN,NaN,NaN,NaN,November 2020,2,1390,4172,5799080,Dehradun,1100
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,5th of 9,NaN,NaN,NaN,NaN,November 2020,3,1925,3740,7199500,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,1,4th of 5,NaN,NaN,NaN,NaN,March 2020,1,580,3700,2146000,Dehradun,0
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,3rd of 7,NaN,NaN,NaN,NaN,May 2020,3,1929,3628,6998412,Dehradun,1600
Available,Available,Available,Available,Available,Available,Available,Not Available,Ready to move,4,1st of 2,NaN,NaN,NaN,NaN,July 2020,4,3200,5000,16000000,Dehradun,900
Available,Available,Available,Available,Available,Available,Available,Available,Ready to move,3,1st of 10,NaN,NaN,NaN,NaN,December 2019,3,1821,4283,7799343,Dehradun,0
Available,Available,Available,Available,Not Available,Available,Available,Available,Ready to move,1,NaN,Resale,NaN,NaN,NaN,December 2020,1,580,3965,2299700,Dehradun,0
Available,Available,Available,Not Available,Available,Available,Available,Not Available,Under Construction,3,1st of 9,NaN,NaN,NaN,NaN,December 2019,3,1875,3413,6399375,Dehradun,0
Available,Available,Available,Not Available,Available,Available,Not Available,Not Available,Under Construction,3,1st of 8,NaN,NaN,NaN,NaN,December 2019,3,1800,3500,6300000,Dehradun,0
